Reference_Number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,Case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,Case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
2490-SCS-50051,https://www.raymond-weil.com/en/product/freelancer-ladies-2490-scs-50051/,ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Blue Dial Leather Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Blue Dial Leather Watch, 34.5 x 34.5 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/09/RW_freelancer_2490-scs-50051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with laboratory-grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Genuine calf leather,Genuine calf leather,stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.
The dial’s gradient blue draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Blue Leather Strap, Gradient Blue Dial, Laboratory-Grown Diamonds"
2490-STS-50051,https://www.raymond-weil.com/en/product/freelancer-ladies-2490-sts-50051/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Blue Dial Bracelet Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Blue Dial Bracelet Watch, 34.5 x 34.5 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/09/RW_freelancer_2490-sts-50051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with laboratory-grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.
The dial’s gradient blue draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Stainless Steel Bracelet, Gradient Blue Dial, Laboratory-Grown Diamonds"
2490-SCS-52051,https://www.raymond-weil.com/en/product/freelancer-ladies-2490-scs-52051/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Green Dial Leather Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Green Dial Leather Watch, 34.5 x 34.5 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/09/RW_freelancer_2490-scs-52051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with laboratory-grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Genuine calf leather,Genuine calf leather,Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.
The dial’s gradient green draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Green Leather Strap, Green Dial, Laboratory-Grown Diamonds"
2490-STS-52051,https://www.raymond-weil.com/en/product/freelancer-ladies-2490-sts-52051/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Green Dial Bracelet Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Green Dial Bracelet Watch, 34.5 x 34.5 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/09/RW_freelancer_2490-sts-52051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with laboratory-grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.
The dial’s gradient green draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Stainless Steel Bracelet, Gradient Green Dial, Laboratory-Grown Diamonds"
2490-ST-50051,https://www.raymond-weil.com/en/product/freelancer-ladies-2490-st-50051/,ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Blue Dial Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Blue Dial Watch, 34.5 x 34.5 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/09/RW_freelancer_2490-st-50051_rvb_700x860px_72dpi.png,Switzerland,Square,stainless steel,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.
The dial’s gradient blue draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Stainless Steel Bracelet, Gradient Blue Dial"
5385-PC5-00859,https://www.raymond-weil.com/en/product/toccata-5385-pc5-00859/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Brown Leather Quartz Watch, 34 mm","Toccata Ladies Brown Leather Quartz Watch, 34 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/02/RW_toccata_5385-pc5-00859_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel with rose gold PVD plating,,Snapped,34 mm, , ,7 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Rosé, with applied Roman numerals","Rosé, with applied Roman numerals",Genuine calf leather with alligator motif,Genuine calf leather with alligator motif,Stainless steel traditional buckle with rose gold PVD plating,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata ladies’ watch features a stainless steel 34 mm case with rose gold PVD plating and a date window at 3 o’clock. The rosé colour dial lacquered set with applied Roman numeral indexes, with sunray satin-finished, has a railway-track chapter ring that aids readability. To complement this modern classic, alligator motifs have been added on the strap.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.",
5385-P5S-00859,https://www.raymond-weil.com/en/product/toccata-5385-p5s-00859/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Rose Gold PVD 80 Diamonds Quartz Watch, 34 mm","Toccata Ladies Rose Gold PVD 80 Diamonds Quartz Watch, 34 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/01/RW_toccata_5385-p5s-00859_rvb_700x860px_72dpi-1.png,Switzerland,Round,Stainless steel with rose gold PVD plating and set with 80 diamonds,,Snapped,34 mm, , ,7 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Rosé, with applied Roman numerals","Rosé, with applied Roman numerals",Stainless steel with rose gold PVD plating,Stainless steel with rose gold PVD plating,Stainless steel folding clasp with rose gold PVD plating and double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata ladies’ timepiece features a 34 mm case and is decorated with 80 single-cut diamonds. With a date window at 3 o’clock, the rosé lacquered and sunray satin-finished dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.",
5385-P5-00859,https://www.raymond-weil.com/en/product/toccata-5385-p5-00859/,ladies,Raymond Weil,,Toccata,"Toccata Ladies Rose Gold PVD Quartz Watch, 34 mm","Toccata Ladies Rose Gold PVD Quartz Watch, 34 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/02/RW_toccata_5385-p5-00859_rvb_700x860px_72dpi-1.png,Switzerland,round,Stainless steel with rose gold PVD plating,,snapped,34 mm, , ,7 mm,,,sapphire,"50 m, 165 ft, 5 atm",,"Rosé, with applied Roman numerals","Rosé, with applied Roman numerals",Stainless steel with rose gold PVD plating,Stainless steel with rose gold PVD plating,Stainless steel folding clasp with rose gold PVD plating and double push-security system,quartz,quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata ladies’ watch features a 34 mm case with rose gold PVD plating and a date window at 3 o’clock. The rosé colour lacquered and sunray satin-finished dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability.To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company",
5385-STS-00653,https://www.raymond-weil.com/en/product/toccata-5385-sts-00653/,Ladies,Raymond Weil,,toccata,"Toccata Ladies 80 Diamonds Quartz Watch, 34 mm","Toccata Ladies 80 Diamonds Quartz Watch, 34 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/01/toccata_5385-sts-00653_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel set with 80 diamonds,,Snapped,34 mm, , ,7 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Silver, with Roman numerals","Silver, with Roman numerals",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata ladies’ timepiece features a 34mm case and is decorated with 80 single-cut diamonds. With a date window at 3 o’clock, the silver lacquered and sunray satin-finished dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.",
5385-ST-00659,https://www.raymond-weil.com/en/product/toccata-5385-st-00659/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Silver Dial Stainless Steel Quartz Watch, 34 mm","Toccata Ladies Silver Dial Stainless Steel Quartz Watch, 34 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2023/01/RW_toccata_5385-st-00659_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel,,Snapped,34 mm, , ,7 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Silver, with applied Roman numerals","Silver, with applied Roman numerals",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata ladies’ watch features a sleek stainless steel 34 mm case with a date window at 3 o’clock. The silver lacquered and sunray satin-finished dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.",
